Team_1,Team_2,Winner,Margin,Ground,Match_Date,Scorecard
CSK,SRH,CSK,7 wickets,Chennai,"Apr 21, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-sunrisers-hyderabad-29th-match-1359503/full-scorecard
DC,KKR,DC,4 wickets,Delhi,"Apr 20, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-kolkata-knight-riders-28th-match-1359502/full-scorecard
Punjab Kings,RCB,RCB,24 runs,Mohali,"Apr 20, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-royal-challengers-bangalore-27th-match-1359501/full-scorecard
RR,LSG,LSG,10 runs,Jaipur,"Apr 19, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-lucknow-super-giants-26th-match-1359500/full-scorecard
SRH,MI,MI,14 runs,Hyderabad,"Apr 18, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-mumbai-indians-25th-match-1359499/full-scorecard
RCB,CSK,CSK,8 runs,Bengaluru,"Apr 17, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1359498/full-scorecard
GT,RR,RR,3 wickets,Ahmedabad,"Apr 16, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-rajasthan-royals-23rd-match-1359497/full-scorecard
MI,KKR,MI,5 wickets,Wankhede,"Apr 16, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-kolkata-knight-riders-22nd-match-1359496/full-scorecard
LSG,Punjab Kings,Punjab Kings,2 wickets,Lucknow,"Apr 15, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-punjab-kings-21st-match-1359495/full-scorecard
RCB,DC,RCB,23 runs,Bengaluru,"Apr 15, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-delhi-capitals-20th-match-1359494/full-scorecard
KKR,SRH,SRH,23 runs,Eden Gardens,"Apr 14, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-sunrisers-hyderabad-19th-match-1359493/full-scorecard
Punjab Kings,GT,GT,6 wickets,Mohali,"Apr 13, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-gujarat-titans-18th-match-1359492/full-scorecard
CSK,RR,RR,3 runs,Chennai,"Apr 12, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-rajasthan-royals-17th-match-1359491/full-scorecard
DC,MI,MI,6 wickets,Delhi,"Apr 11, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-mumbai-indians-16th-match-1359490/full-scorecard
RCB,LSG,LSG,1 wicket,Bengaluru,"Apr 10, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-lucknow-super-giants-15th-match-1359489/full-scorecard
SRH,Punjab Kings,SRH,8 wickets,Hyderabad,"Apr 9, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488/full-scorecard
GT,KKR,KKR,3 wickets,Ahmedabad,"Apr 9, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487/full-scorecard
MI,CSK,CSK,7 wickets,Wankhede,"Apr 8, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/mumbai-indians-vs-chennai-super-kings-12th-match-1359486/full-scorecard
RR,DC,RR,57 runs,Guwahati,"Apr 8, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-delhi-capitals-11th-match-1359485/full-scorecard
LSG,SRH,LSG,5 wickets,Lucknow,"Apr 7, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-sunrisers-hyderabad-10th-match-1359484/full-scorecard
KKR,RCB,KKR,81 runs,Eden Gardens,"Apr 6, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-royal-challengers-bangalore-9th-match-1359483/full-scorecard
RR,Punjab Kings,Punjab Kings,5 runs,Guwahati,"Apr 5, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-punjab-kings-8th-match-1359482/full-scorecard
DC,GT,GT,6 wickets,Delhi,"Apr 4, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/delhi-capitals-vs-gujarat-titans-7th-match-1359481/full-scorecard
CSK,LSG,CSK,12 runs,Chennai,"Apr 3, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480/full-scorecard
RCB,MI,RCB,8 wickets,Bengaluru,"Apr 2, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-mumbai-indians-5th-match-1359479/full-scorecard
SRH,RR,RR,72 runs,Hyderabad,"Apr 2, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1359478/full-scorecard
LSG,DC,LSG,50 runs,Lucknow,"Apr 1, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-delhi-capitals-3rd-match-1359477/full-scorecard
Punjab Kings,KKR,Punjab Kings,7 runs,Mohali,"Apr 1, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476/full-scorecard
GT,CSK,GT,5 wickets,Ahmedabad,"Mar 31, 2023",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/gujarat-titans-vs-chennai-super-kings-1st-match-1359475/full-scorecard
