Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SV Samson (RR),2023-2023,14,14,2,362,66*,30.16,236,153.38,0,3,2,25,24
Prabhsimran Singh (PBKS),2023-2023,14,14,0,358,103,25.57,238,150.42,1,1,2,38,19
N Pooran (LSG),2023-2023,15,15,3,358,62,29.83,207,172.94,0,2,2,26,26
HH Pandya (GT),2023-2023,16,15,4,346,66,31.45,253,136.75,0,2,0,26,15
NT Tilak Varma (MI),2023-2023,11,11,3,343,84*,42.87,209,164.11,0,1,0,26,23
RG Sharma (MI),2023-2023,16,16,0,332,65,20.75,250,132.80,0,2,2,35,17
AM Rahane (CSK),2023-2023,14,11,1,326,71*,32.60,189,172.48,0,2,0,24,16
JM Sharma (PBKS),2023-2023,14,14,1,309,49*,23.76,198,156.06,0,0,1,22,21
V Shankar (GT),2023-2023,14,10,2,301,63*,37.62,188,160.10,0,3,0,27,15
SO Hetmyer (RR),2023-2023,14,13,5,299,56*,37.37,197,151.77,0,1,0,12,23
JJ Roy (KKR),2023-2023,8,8,0,285,61,35.62,188,151.59,0,2,0,36,12
AR Patel (DC),2023-2023,14,13,3,283,54,28.30,203,139.40,0,1,0,21,15
LS Livingstone (PBKS),2023-2023,9,9,1,279,94,34.87,171,163.15,0,2,0,20,19
SM Curran (PBKS),2023-2023,14,13,3,276,55,27.60,203,135.96,0,1,0,20,13
KL Rahul (LSG),2023-2023,9,9,1,274,74,34.25,242,113.22,0,2,0,28,4
RA Tripathi (SRH),2023-2023,13,13,1,273,74*,22.75,213,128.16,0,1,1,29,10
MA Agarwal (SRH),2023-2023,10,10,0,270,83,27.00,210,128.57,0,1,0,29,6
D Padikkal (RR),2023-2023,11,11,1,261,52,26.10,200,130.50,0,2,0,31,6
DA Miller (GT),2023-2023,16,13,5,259,46,32.37,178,145.50,0,0,1,18,13
AK Markram (SRH),2023-2023,13,13,2,248,50,22.54,197,125.88,0,1,1,18,8
N Wadhera (MI),2023-2023,14,10,1,241,64,26.77,166,145.18,0,2,1,23,12
A Badoni (LSG),2023-2023,15,12,2,238,59*,23.80,172,138.37,0,1,0,13,12
TH David (MI),2023-2023,16,15,6,231,45*,25.66,146,158.21,0,0,2,12,15
Rahmanullah Gurbaz (KKR),2023-2023,11,11,0,227,81,20.63,170,133.52,0,2,2,17,15
AD Russell (KKR),2023-2023,14,14,3,227,42,20.63,156,145.51,0,0,1,13,18
Abhishek Sharma (SRH),2023-2023,11,11,0,226,67,20.54,157,143.94,0,2,1,28,6
PD Salt (DC),2023-2023,9,9,1,218,87,27.25,133,163.90,0,2,2,24,10
RR Rossouw (DC),2023-2023,9,9,2,209,82*,29.85,141,148.22,0,1,2,17,11
HC Brook (SRH),2023-2023,11,11,2,190,100*,21.11,154,123.37,1,0,3,23,4
RA Jadeja (CSK),2023-2023,16,12,4,190,25*,23.75,133,142.85,0,0,0,11,9
KH Pandya (LSG),2023-2023,15,14,4,188,49*,18.80,165,113.93,0,0,3,15,6
A Taide (PBKS),2023-2023,7,7,0,186,66,26.57,129,144.18,0,2,1,20,6
Abdul Samad (SRH),2023-2023,9,8,4,169,37*,42.25,128,132.03,0,0,0,10,11
MK Pandey (DC),2023-2023,10,9,0,160,50,17.77,146,109.58,0,1,2,15,3
AT Rayudu (CSK),2023-2023,16,12,2,158,27*,15.80,113,139.82,0,0,1,10,9
M Shahrukh Khan (PBKS),2023-2023,14,13,6,156,41*,22.28,94,165.95,0,0,0,13,9
DC Jurel (RR),2023-2023,13,11,4,152,34*,21.71,88,172.72,0,0,1,11,9
Q de Kock (LSG),2023-2023,4,4,0,143,70,35.75,102,140.19,0,1,0,10,8
KD Karthik (RCB),2023-2023,13,13,1,140,30,11.66,104,134.61,0,0,4,13,5
Sikandar Raza (PBKS),2023-2023,7,7,2,139,57,27.80,98,141.83,0,1,0,10,6
MK Lomror (RCB),2023-2023,12,10,2,135,54*,16.87,97,139.17,0,1,1,9,8
Rashid Khan (GT),2023-2023,17,9,5,130,79*,32.50,60,216.66,0,1,2,8,13
MR Marsh (DC),2023-2023,9,9,0,128,63,14.22,97,131.95,0,1,2,11,7
MM Ali (CSK),2023-2023,15,10,3,124,23,17.71,91,136.26,0,0,0,12,6
MW Short (PBKS),2023-2023,6,6,0,117,36,19.50,92,127.17,0,0,0,15,4
A Manohar (GT),2023-2023,9,6,0,114,42,19.00,83,137.34,0,0,0,6,7
SN Thakur (KKR),2023-2023,11,10,2,113,68,14.12,70,161.42,0,1,2,13,4
Aman Hakim Khan (DC),2023-2023,11,9,1,110,51,13.75,101,108.91,0,1,1,7,6
PP Shaw (DC),2023-2023,8,8,0,106,54,13.25,85,124.70,0,1,2,16,1
Anmolpreet Singh (SRH),2023-2023,4,4,0,105,36,26.25,82,128.04,0,0,0,15,2
MS Dhoni (CSK),2023-2023,16,12,8,104,32*,26.00,57,182.45,0,0,1,3,10
PN Mankad (LSG),2023-2023,5,5,2,93,64*,31.00,72,129.16,0,1,1,12,2
Anuj Rawat (RCB),2023-2023,9,7,4,91,29*,30.33,71,128.16,0,0,0,6,4
N Jagadeesan (KKR),2023-2023,6,6,0,89,36,14.83,81,109.87,0,0,1,14,1
R Tewatia (GT),2023-2023,17,10,6,87,20*,21.75,57,152.63,0,0,0,3,7
DJ Hooda (LSG),2023-2023,12,12,1,84,17,7.63,90,93.33,0,0,0,3,2
R Parag (RR),2023-2023,7,7,1,78,20,13.00,66,118.18,0,0,0,4,5
Harpreet Singh (PBKS),2023-2023,3,3,0,76,41,25.33,59,128.81,0,0,0,8,3
PBB Rajapaksa (PBKS),2023-2023,4,4,1,71,50,23.66,62,114.51,0,1,1,6,2
Vivrant Sharma (SRH),2023-2023,3,1,0,69,69,69.00,47,146.80,0,1,0,9,2
R Ashwin (RR),2023-2023,13,10,4,67,30,11.16,51,131.37,0,0,2,5,3
Lalit Yadav (DC),2023-2023,6,6,1,66,38,13.20,59,111.86,0,0,0,8,0
K Gowtham (LSG),2023-2023,7,7,3,61,23,15.25,37,164.86,0,0,0,2,5
Washington Sundar (SRH),2023-2023,7,5,1,60,24*,15.00,60,100.00,0,0,0,6,0
MG Bracewell (RCB),2023-2023,5,4,2,58,26,29.00,47,123.40,0,0,0,6,1
SN Khan (DC),2023-2023,4,4,0,53,30,13.25,62,85.48,0,0,0,4,1
Harpreet Brar (PBKS),2023-2023,13,8,2,52,17*,8.66,41,126.82,0,0,1,5,2
RV Patel (DC),2023-2023,5,4,1,49,23,16.33,43,113.95,0,0,0,3,1
